Trump Vs.,BarackObama HillaryClinton BernieSanders tedcruz Schwarzenegger marcorubio JebBush SenJohnMcCain JoeBiden BobbyJindal
Multinomial NB 1,0.838
Multinomial NB 2,0.896
Bernoulli NB,0.886666667
SVM,0.513166667
Decision Tree,0.846
SGD,0.877666667
Interesting Trump Words,nytimes joke truthful prosecuted rigged surging
Interesting Non-Trump Words,minimum wage #demdebate food bank humanity
,
,
Trump Vs.,
Multinomial NB 1,
Multinomial NB 2,
Bernoulli NB,
SVM,
Decision Tree,
SGD,
Interesting Trump Words,
Interesting Non-Trump Words,
,
,
Trump Vs.,
Multinomial NB 1,
Multinomial NB 2,
Bernoulli NB,
SVM,
Decision Tree,
SGD,
Interesting Trump Words,
Interesting Non-Trump Words,
,
,
Trump Vs.,
Multinomial NB 1,
Multinomial NB 2,
Bernoulli NB,
SVM,
Decision Tree,
SGD,
Interesting Trump Words,
Interesting Non-Trump Words,
